,hoops,steps
0,5,6.025125628140704
1,15,46.4070351758794
2,25,107.4321608040201
3,35,192.24120603015075
4,45,299.90954773869345
5,55,435.9396984924623
6,65,618.8793969849246
7,75,783.4874371859296
8,85,1064.678391959799
9,95,1242.5175879396984
10,105,1520.7939698492462
11,115,1926.572864321608
12,125,2250.9798994974876
13,135,2330.045226130653
14,145,2659.5628140703516
15,155,3297.6984924623116
16,165,3775.1959798994976
17,175,3779.2763819095476
18,185,4589.597989949749
19,195,5562.075376884422
20,205,4996.472361809046
21,215,5649.94472361809
22,225,6745.884422110553
23,235,8056.045226130654
24,245,7567.120603015075
25,255,8491.085427135678
26,265,9208.155778894472
27,275,10056.24120603015
28,285,11008.02512562814
29,295,11430.507537688442
30,305,11973.190954773869
31,315,11905.206030150754
32,325,13372.492462311558
33,335,13616.678391959798
34,345,15168.633165829146
35,355,16411.30150753769
36,365,16496.72864321608
37,375,17812.613065326634
38,385,17079.497487437187
39,395,22189.256281407033
40,405,21091.587939698493
41,415,24456.64824120603
42,425,24014.06030150754
43,435,25149.03015075377
44,445,23482.54271356784
45,455,24552.195979899498
46,465,28218.99497487437
47,475,27911.72361809045
48,485,27591.085427135677
49,495,30742.834170854272
50,505,29652.35175879397
51,515,36889.3567839196
52,525,30249.623115577888
53,535,35936.0351758794
54,545,38937.38190954774
55,555,37990.52763819096
56,565,41517.38190954774
57,575,42314.52763819096
58,585,41710.804020100506
59,595,43904.41206030151
