,hoops,steps
0,5,6.0
1,15,37.0
2,25,84.0
3,35,143.0
4,45,231.0
5,55,287.0
6,65,458.0
7,75,520.0
8,85,795.0
9,95,940.0
10,105,1080.0
11,115,1389.0
12,125,1582.0
13,135,1653.0
14,145,1980.0
15,155,2341.0
16,165,2766.0
17,175,2496.0
18,185,2871.0
19,195,3908.0
20,205,3464.0
21,215,4182.0
22,225,4092.0
23,235,5546.0
24,245,4946.0
25,255,5458.0
26,265,6914.0
27,275,7113.0
28,285,7467.0
29,295,7315.0
30,305,8634.0
31,315,8914.0
32,325,9291.0
33,335,9910.0
34,345,10494.0
35,355,11140.0
36,365,11915.0
37,375,12450.0
38,385,12537.0
39,395,14374.0
40,405,13905.0
41,415,17517.0
42,425,15991.0
43,435,16501.0
44,445,13416.0
45,455,17490.0
46,465,19595.0
47,475,18095.0
48,485,18522.0
49,495,22509.0
50,505,21408.0
51,515,28025.0
52,525,23580.0
53,535,23654.0
54,545,29820.0
55,555,26249.0
56,565,25060.0
57,575,35345.0
58,585,26712.0
59,595,34048.0
